   117/149       16G   0.04154   0.07666  0.002375    0.1206       109       640    0.4874    0.4678    0.4032    0.1188   0.05431   0.07434  0.009545
   118/149       16G   0.04146    0.0768  0.002374    0.1206        82       640    0.4902    0.4667    0.4028    0.1186   0.05433   0.07444  0.009563
   119/149       16G   0.04119   0.07665  0.002344    0.1202        61       640    0.4876    0.4659    0.4019    0.1183   0.05437   0.07458   0.00961
   120/149       16G   0.04119   0.07628  0.002309    0.1198        48       640    0.4842    0.4669    0.4007     0.118   0.05443   0.07475  0.009657
   121/149       16G   0.04096   0.07606  0.002239    0.1193        96       640    0.4657    0.4832    0.3994    0.1174   0.05446   0.07491  0.009745
   122/149       16G     0.041   0.07632  0.002322    0.1196        85       640    0.4686    0.4797    0.3987    0.1172   0.05449   0.07508  0.009799
   123/149       16G   0.04094   0.07597  0.002236    0.1191        63       640    0.4644    0.4848    0.3978    0.1168   0.05453   0.07526   0.00981
   124/149       16G    0.0406   0.07638  0.002153    0.1191        51       640    0.4646    0.4819    0.3971    0.1166   0.05455    0.0754  0.009853
   125/149       16G   0.04041   0.07584  0.002173    0.1184        72       640    0.4609    0.4825     0.396    0.1165   0.05458   0.07552  0.009924
   126/149       16G   0.04043   0.07425  0.002192    0.1169        78       640    0.4622    0.4807    0.3965    0.1164   0.05462   0.07562  0.009977
   127/149       16G   0.04022   0.07499  0.002183    0.1174        80       640     0.473      0.47    0.3971    0.1165   0.05465   0.07575   0.01003
   128/149       16G   0.04016   0.07534  0.002081    0.1176        89       640    0.4676    0.4762    0.3971    0.1162   0.05469   0.07586   0.01004
   129/149       16G   0.04004   0.07469   0.00216    0.1169        49       640    0.4833    0.4605    0.3971    0.1163   0.05472   0.07596   0.01006
   130/149       16G   0.03998   0.07496  0.002089     0.117        48       640    0.4755    0.4679    0.3968    0.1162   0.05475   0.07607   0.01008
   131/149       16G   0.03984   0.07553  0.002054    0.1174        88       640    0.4791    0.4649    0.3969     0.116   0.05478   0.07619    0.0101
   132/149       16G   0.03968    0.0744  0.002087    0.1162        80       640    0.4792    0.4653    0.3967    0.1158   0.05481   0.07631   0.01011
   133/149       16G   0.03962   0.07449  0.002116    0.1162        83       640    0.4852    0.4598    0.3964    0.1158   0.05484   0.07642   0.01011
   134/149       16G   0.03956   0.07392  0.002092    0.1156        61       640    0.4816    0.4642    0.3972    0.1158   0.05487   0.07654   0.01011
   135/149       16G   0.03929   0.07283  0.002086    0.1142        92       640     0.481    0.4643    0.3966    0.1157    0.0549   0.07663   0.01011
   136/149       16G   0.03937   0.07396   0.00212    0.1155        68       640    0.4797    0.4649    0.3957    0.1156   0.05494   0.07675   0.01013
   137/149       16G   0.03918   0.07398  0.002058    0.1152        79       640    0.4797    0.4644     0.396    0.1157   0.05497   0.07685   0.01014
   138/149       16G   0.03914   0.07299  0.002022    0.1141       114       640    0.4808    0.4654    0.3959    0.1155     0.055   0.07697   0.01016
   139/149       16G    0.0391   0.07248  0.002055    0.1136        62       640    0.4811    0.4673     0.396    0.1153   0.05503   0.07706   0.01019
   140/149       16G   0.03886   0.07351  0.001988    0.1144       105       640    0.4897    0.4575    0.3946    0.1148   0.05506   0.07714   0.01022
   141/149       16G   0.03899   0.07178  0.001976    0.1128        78       640    0.4908    0.4564    0.3946    0.1148    0.0551   0.07725   0.01026
   142/149       16G   0.03873   0.07341   0.00198    0.1141        67       640    0.4788    0.4668    0.3943    0.1146   0.05511   0.07733   0.01029
   143/149       16G   0.03868   0.07313  0.002009    0.1138        79       640    0.4757    0.4703    0.3944    0.1147   0.05514   0.07743   0.01033
   144/149       16G   0.03865    0.0717  0.001945    0.1123        86       640    0.4866    0.4593    0.3934    0.1147   0.05517   0.07753   0.01036
   145/149       16G   0.03837    0.0714  0.001969    0.1117        84       640    0.4929     0.454     0.393    0.1145   0.05519   0.07762   0.01038
   146/149       16G    0.0383   0.07173  0.001888    0.1119        76       640    0.4878    0.4567    0.3925    0.1143   0.05522    0.0777    0.0104
   147/149       16G   0.03833   0.07288  0.001988    0.1132        51       640    0.4807    0.4625     0.392    0.1142   0.05524   0.07779   0.01042
   148/149       16G   0.03819   0.07219  0.001916    0.1123        48       640    0.4776    0.4636    0.3904     0.114   0.05526   0.07785   0.01044
   149/149       16G   0.03814   0.07114  0.001846    0.1111        73       640    0.4767    0.4652    0.3908    0.1138   0.05529   0.07794   0.01046
